"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 21, 2016","142.13","142.16","142.61","141.71","2.44M","-0.02%"
"Mar 18, 2016","142.16","142.83","142.96","141.44","7.61M","-0.17%"
"Mar 17, 2016","142.40","140.00","142.58","139.68","4.46M","1.84%"
"Mar 16, 2016","139.83","139.84","140.44","139.51","3.12M","-0.41%"
"Mar 15, 2016","140.40","139.12","140.41","139.01","2.84M","0.49%"
"Mar 14, 2016","139.72","140.80","141.22","139.48","4.24M","-0.66%"
"Mar 11, 2016","140.65","139.34","140.76","139.11","4.31M","1.46%"
"Mar 10, 2016","138.62","139.75","139.75","137.81","4.53M","-0.37%"
"Mar 09, 2016","139.13","138.55","139.15","138.07","3.17M","0.97%"
"Mar 08, 2016","137.80","138.25","138.69","137.49","4.12M","-0.66%"
"Mar 07, 2016","138.72","137.70","138.79","137.43","4.57M","0.54%"
"Mar 04, 2016","137.97","136.99","138.06","136.52","4.23M","0.83%"
"Mar 03, 2016","136.84","136.80","137.24","136.13","3.94M","0.08%"
"Mar 02, 2016","136.73","136.95","137.15","135.81","3.78M","-0.15%"
"Mar 01, 2016","136.94","135.11","136.94","134.32","6.07M","2.06%"
"Feb 29, 2016","134.17","133.36","135.11","132.94","7.73M","1.71%"
"Feb 26, 2016","131.92","132.82","133.29","131.77","3.85M","-0.29%"
"Feb 25, 2016","132.31","131.62","132.37","130.42","3.50M","0.98%"
"Feb 24, 2016","131.03","129.90","131.50","128.88","3.64M","0.22%"
"Feb 23, 2016","130.74","131.12","131.91","130.65","3.09M","-0.95%"
"Feb 22, 2016","131.99","132.19","132.87","131.33","3.72M","0.72%"
"Feb 19, 2016","131.05","130.35","131.60","130.01","4.09M","0.15%"
"Feb 18, 2016","130.86","130.60","132.35","130.59","3.87M","0.46%"
"Feb 17, 2016","130.26","129.17","130.44","128.91","4.51M","1.32%"
"Feb 16, 2016","128.56","129.44","129.60","128.07","5.91M","0.38%"
"Feb 12, 2016","128.07","126.76","128.21","126.05","5.17M","2.38%"
"Feb 11, 2016","125.09","124.11","125.84","124.04","6.06M","-1.18%"
"Feb 10, 2016","126.58","128.44","129.18","126.29","4.73M","-0.89%"
"Feb 09, 2016","127.72","125.15","128.08","125.15","5.25M","0.74%"
"Feb 08, 2016","126.78","125.70","127.84","124.93","6.20M","0.17%"
"Feb 05, 2016","126.56","127.28","127.39","125.75","4.73M","-0.69%"
"Feb 04, 2016","127.44","126.09","127.70","125.75","4.60M","0.95%"
"Feb 03, 2016","126.24","126.34","126.63","123.55","6.61M","0.43%"
"Feb 02, 2016","125.70","127.52","127.83","125.51","4.34M","-2.30%"
"Feb 01, 2016","128.66","128.94","129.64","127.54","4.44M","-0.86%"
"Jan 29, 2016","129.77","126.66","129.77","126.11","6.52M","2.98%"
"Jan 28, 2016","126.01","126.00","126.72","124.37","3.51M","0.66%"
"Jan 27, 2016","125.19","125.26","127.22","124.61","3.94M","-0.56%"
"Jan 26, 2016","125.89","124.57","126.52","124.57","3.69M","1.42%"
"Jan 25, 2016","124.13","126.55","126.90","123.90","5.25M","-2.29%"
"Jan 22, 2016","127.04","127.50","127.93","125.92","3.77M","1.13%"
"Jan 21, 2016","125.62","125.52","126.75","124.37","3.81M","0.63%"
"Jan 20, 2016","124.83","125.60","126.12","124.04","8.02M","-2.29%"
"Jan 19, 2016","127.76","126.86","128.27","126.77","5.83M","1.28%"
"Jan 15, 2016","126.14","125.34","126.81","124.51","8.15M","-1.51%"
"Jan 14, 2016","128.07","126.41","128.99","126.01","6.13M","1.44%"
"Jan 13, 2016","126.25","128.97","129.38","125.71","6.04M","-1.98%"
"Jan 12, 2016","128.80","129.11","129.43","127.52","4.72M","0.34%"
"Jan 11, 2016","128.36","128.92","129.23","127.04","4.35M","0.02%"
"Jan 08, 2016","128.33","130.11","130.40","128.21","6.10M","-0.89%"
"Jan 07, 2016","129.48","129.25","130.54","129.00","7.38M","-1.41%"
"Jan 06, 2016","131.33","129.99","131.76","129.72","5.22M","0.06%"
"Jan 05, 2016","131.25","130.75","131.53","129.81","4.08M","0.38%"
"Jan 04, 2016","130.75","130.16","131.03","128.76","6.87M","-0.98%"
"Dec 31, 2015","132.04","133.00","133.37","131.95","3.41M","-0.92%"
"Dec 30, 2015","133.26","133.92","134.12","133.06","2.68M","-0.66%"
"Dec 29, 2015","134.14","134.00","134.55","133.00","3.14M","0.77%"
"Dec 28, 2015","133.12","133.48","133.54","132.52","2.38M","-0.58%"
"Dec 24, 2015","133.89","134.12","134.55","133.48","1.37M","-0.19%"
"Dec 23, 2015","134.15","133.35","134.43","133.20","3.48M","0.76%"
"Dec 22, 2015","133.14","131.55","133.33","131.04","3.71M","1.49%"
"Dec 21, 2015","131.19","131.16","131.69","129.65","4.31M","1.28%"
"Dec 18, 2015","129.53","133.04","133.17","129.53","8.79M","-3.31%"
"Dec 17, 2015","133.97","135.71","136.16","133.90","3.60M","-1.41%"
"Dec 16, 2015","135.88","135.49","136.12","133.10","4.93M","0.74%"
"Dec 15, 2015","134.88","133.25","135.64","132.76","4.70M","2.17%"
"Dec 14, 2015","132.02","130.50","132.23","130.11","4.42M","1.31%"
"Dec 11, 2015","130.31","130.31","130.91","129.56","5.48M","-1.06%"
"Dec 10, 2015","131.71","131.72","132.62","131.19","3.46M","0.00%"
"Dec 09, 2015","131.71","133.18","134.15","131.20","4.06M","-1.24%"
"Dec 08, 2015","133.36","134.90","134.99","133.17","4.06M","-1.65%"
"Dec 07, 2015","135.60","136.20","136.45","134.68","2.79M","-0.64%"
"Dec 04, 2015","136.48","133.09","136.52","133.00","5.52M","2.88%"
"Dec 03, 2015","132.66","135.33","135.54","132.29","4.38M","-1.93%"
"Dec 02, 2015","135.27","136.50","136.74","135.10","3.71M","-0.85%"
"Dec 01, 2015","136.43","134.86","136.57","134.36","3.80M","1.75%"
"Nov 30, 2015","134.09","134.82","135.09","133.82","5.09M","-0.40%"
"Nov 27, 2015","134.63","135.30","135.58","134.45","1.24M","-0.37%"
"Nov 25, 2015","135.13","135.48","136.00","134.84","2.14M","-0.30%"
"Nov 24, 2015","135.54","135.09","135.88","134.12","2.76M","-0.33%"
"Nov 23, 2015","135.99","136.29","136.78","135.84","2.47M","-0.47%"
"Nov 20, 2015","136.63","137.34","137.42","135.96","2.92M","0.00%"
"Nov 19, 2015","136.63","136.19","136.87","135.83","2.76M","0.30%"
"Nov 18, 2015","136.22","133.47","136.38","133.27","3.77M","2.35%"
"Nov 17, 2015","133.09","133.85","133.93","132.68","2.88M","-0.16%"
"Nov 16, 2015","133.30","131.82","133.31","131.47","2.97M","1.02%"
"Nov 13, 2015","131.96","132.61","133.56","131.74","3.59M","-0.62%"
"Nov 12, 2015","132.78","134.46","134.63","132.77","3.79M","-1.62%"
"Nov 11, 2015","134.96","134.94","135.20","134.12","2.06M","0.17%"
"Nov 10, 2015","134.73","134.00","134.73","133.64","2.93M","0.54%"
"Nov 09, 2015","134.00","136.00","136.19","133.40","4.88M","-1.71%"
