"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","9.61","9.68","9.68","9.50","595.74K","-0.72%"
"Nov 27, 2019","9.68","9.40","9.78","9.31","1.48M","2.87%"
"Nov 26, 2019","9.41","9.48","9.49","9.19","2.42M","-1.16%"
"Nov 25, 2019","9.52","9.39","9.77","9.37","1.72M","0.85%"
"Nov 22, 2019","9.44","9.27","9.55","9.23","1.56M","2.72%"
"Nov 21, 2019","9.19","9.25","9.27","9.06","812.72K","-0.11%"
"Nov 20, 2019","9.20","9.05","9.39","9.03","1.52M","2.45%"
"Nov 19, 2019","8.98","8.99","9.08","8.58","1.68M","0.79%"
"Nov 18, 2019","8.91","9.22","9.26","8.87","1.62M","-3.57%"
"Nov 15, 2019","9.24","9.04","9.32","9.04","1.02M","2.67%"
"Nov 14, 2019","9.00","9.04","9.20","8.98","1.65M","0.45%"
"Nov 13, 2019","8.96","9.14","9.14","8.85","1.57M","-1.54%"
"Nov 12, 2019","9.10","9.31","9.36","9.04","1.79M","-2.36%"
"Nov 11, 2019","9.32","9.32","9.35","9.08","815.85K","-1.06%"
"Nov 08, 2019","9.42","9.54","9.61","9.28","1.39M","-0.84%"
"Nov 07, 2019","9.50","9.78","9.91","9.29","2.36M","1.71%"
"Nov 06, 2019","9.34","9.67","9.68","9.22","2.53M","-5.08%"
"Nov 05, 2019","9.84","9.84","9.91","9.71","1.81M","0.92%"
"Nov 04, 2019","9.75","9.55","10.02","9.52","3.92M","2.85%"
"Nov 01, 2019","9.48","9.44","9.49","9.34","2.86M","1.28%"
"Oct 31, 2019","9.36","9.43","9.48","9.28","1.94M","-1.27%"
"Oct 30, 2019","9.48","9.36","9.53","9.25","1.67M","0.74%"
"Oct 29, 2019","9.41","8.93","9.54","8.80","1.96M","4.32%"
"Oct 28, 2019","9.02","9.42","9.56","8.92","2.62M","-4.75%"
"Oct 25, 2019","9.47","9.38","9.56","9.33","2.89M","1.72%"
"Oct 24, 2019","9.31","9.15","9.36","8.94","1.74M","1.75%"
"Oct 23, 2019","9.15","9.05","9.19","8.77","2.90M","0.88%"
"Oct 22, 2019","9.07","9.26","9.44","9.05","1.58M","-1.95%"
"Oct 21, 2019","9.25","9.14","9.29","9.11","1.06M","1.43%"
"Oct 18, 2019","9.12","9.25","9.31","9.00","1.82M","-1.30%"
"Oct 17, 2019","9.24","9.10","9.30","9.04","1.47M","1.54%"
"Oct 16, 2019","9.10","9.15","9.27","9.07","957.81K","-1.52%"
"Oct 15, 2019","9.24","9.15","9.41","9.06","688.29K","1.20%"
"Oct 14, 2019","9.13","9.23","9.31","9.09","1.02M","-1.72%"
"Oct 11, 2019","9.29","9.62","9.74","9.29","2.27M","-2.21%"
"Oct 10, 2019","9.50","9.24","9.65","9.24","1.68M","2.81%"
"Oct 09, 2019","9.24","9.43","9.43","9.14","1.90M","-0.43%"
"Oct 08, 2019","9.28","9.42","9.47","9.17","1.83M","-2.32%"
"Oct 07, 2019","9.50","9.59","9.80","9.44","1.56M","-1.35%"
"Oct 04, 2019","9.63","9.40","9.68","9.33","1.69M","2.34%"
"Oct 03, 2019","9.41","9.55","9.66","9.33","1.38M","-0.42%"
"Oct 02, 2019","9.45","9.30","9.54","8.93","1.70M","1.72%"
"Oct 01, 2019","9.29","9.29","9.43","9.02","1.82M","0.43%"
"Sep 30, 2019","9.25","9.48","9.54","9.18","1.62M","-2.22%"
"Sep 27, 2019","9.46","9.00","9.60","9.00","2.29M","3.96%"
"Sep 26, 2019","9.10","9.12","9.23","8.99","1.27M","0.22%"
"Sep 25, 2019","9.08","8.80","9.15","8.75","1.76M","1.79%"
"Sep 24, 2019","8.92","8.86","9.04","8.81","1.05M","-0.78%"
"Sep 23, 2019","8.99","9.11","9.15","8.90","993.70K","-2.07%"
"Sep 20, 2019","9.18","9.30","9.39","9.09","2.65M","-0.54%"
"Sep 19, 2019","9.23","8.82","9.27","8.77","3.12M","4.89%"
"Sep 18, 2019","8.80","8.60","8.84","8.56","2.88M","0.92%"
"Sep 17, 2019","8.72","8.94","8.94","8.51","2.23M","-2.79%"
"Sep 16, 2019","8.97","8.80","9.05","8.76","4.02M","4.06%"
"Sep 13, 2019","8.62","8.75","8.81","8.54","2.33M","-0.81%"
"Sep 12, 2019","8.69","8.71","8.95","8.66","2.26M","-1.81%"
"Sep 11, 2019","8.85","9.08","9.16","8.66","4.08M","-1.23%"
"Sep 10, 2019","8.96","8.96","9.28","8.91","4.03M","0.56%"
"Sep 09, 2019","8.91","9.33","9.51","8.88","11.77M","-3.78%"
"Sep 06, 2019","9.26","9.30","10.07","9.22","13.68M","0.11%"
"Sep 05, 2019","9.25","8.78","9.39","8.67","12.14M","9.21%"
"Sep 04, 2019","8.47","8.34","8.65","8.08","15.25M","4.18%"
"Sep 03, 2019","8.13","8.95","8.95","8.04","5.76M","-5.02%"
"Aug 30, 2019","8.56","8.95","8.98","8.55","3.30M","-3.82%"
"Aug 29, 2019","8.90","8.69","8.94","8.18","8.41M","1.37%"
"Aug 28, 2019","8.78","8.83","9.09","8.78","17.37M","-1.57%"
"Aug 27, 2019","8.92","9.49","9.50","8.87","4.55M","-5.31%"
"Aug 26, 2019","9.42","9.57","9.73","9.27","2.19M","-2.08%"
"Aug 23, 2019","9.62","9.70","9.73","9.35","3.12M","-1.33%"
"Aug 22, 2019","9.75","10.03","10.05","9.72","2.45M","-2.50%"
"Aug 21, 2019","10.00","9.88","10.12","9.64","2.25M","3.63%"
"Aug 20, 2019","9.65","10.11","10.15","9.63","3.33M","-1.33%"
"Aug 19, 2019","9.78","10.49","10.59","9.68","4.06M","-7.39%"
"Aug 16, 2019","10.56","10.66","10.73","10.48","3.40M","0.38%"
"Aug 15, 2019","10.52","10.74","10.98","10.41","6.52M","1.54%"
"Aug 14, 2019","10.36","11.14","11.34","10.35","5.05M","-8.72%"
"Aug 13, 2019","11.35","11.53","11.90","11.25","5.52M","3.18%"
"Aug 12, 2019","11.00","11.50","12.68","10.26","19.43M","-34.05%"
"Aug 09, 2019","16.68","15.82","16.89","15.56","2.26M","6.72%"
"Aug 08, 2019","15.63","15.94","16.08","15.46","1.60M","-1.39%"
"Aug 07, 2019","15.85","15.37","17.03","15.17","2.18M","1.28%"
"Aug 06, 2019","15.65","15.70","16.05","15.56","1.16M","1.10%"
"Aug 05, 2019","15.48","15.44","15.53","15.01","1.48M","-2.52%"
"Aug 02, 2019","15.88","16.26","16.26","15.84","780.51K","-0.87%"
"Aug 01, 2019","16.02","16.26","16.72","15.80","1.23M","-2.61%"
"Jul 31, 2019","16.45","16.70","16.88","16.43","1.59M","-1.50%"
"Jul 30, 2019","16.70","16.77","16.87","16.65","649.72K","-1.42%"
"Jul 29, 2019","16.94","16.64","17.05","16.48","1.02M","0.77%"
"Jul 26, 2019","16.81","16.68","16.87","16.61","734.19K","1.02%"
"Jul 25, 2019","16.64","16.85","16.85","16.43","909.35K","-1.36%"
"Jul 24, 2019","16.87","16.67","17.27","16.67","1.20M","0.54%"
"Jul 23, 2019","16.78","17.12","17.12","16.68","923.58K","-1.24%"
"Jul 22, 2019","16.99","17.39","17.42","16.80","1.24M","-1.74%"
"Jul 19, 2019","17.29","17.73","17.88","17.23","1.26M","-2.48%"
"Jul 18, 2019","17.73","17.94","18.11","17.55","1.62M","-1.28%"
"Jul 17, 2019","17.96","18.11","18.19","17.92","732.57K","-0.88%"
"Jul 16, 2019","18.12","18.08","18.30","17.90","1.36M","0.17%"
"Jul 15, 2019","18.09","18.46","18.51","18.08","815.72K","-1.90%"
"Jul 12, 2019","18.44","18.39","18.53","18.35","669.93K","0.05%"
"Jul 11, 2019","18.43","18.39","18.60","18.28","699.78K","-0.11%"
"Jul 10, 2019","18.45","18.24","18.53","18.01","1.66M","1.60%"
"Jul 09, 2019","18.16","17.89","18.36","17.86","706.50K","0.17%"
"Jul 08, 2019","18.13","18.10","18.16","17.72","857.73K","-0.11%"
"Jul 05, 2019","18.15","18.29","18.35","18.04","886.42K","-0.55%"
"Jul 03, 2019","18.25","18.17","18.26","18.05","632.82K","0.83%"
"Jul 02, 2019","18.10","18.50","18.54","18.04","1.41M","-2.16%"
"Jul 01, 2019","18.50","18.53","18.73","18.30","1.72M","1.59%"
"Jun 28, 2019","18.21","18.33","18.55","18.08","1.16M","-0.49%"
"Jun 27, 2019","18.30","18.17","18.51","18.05","1.24M","0.60%"
"Jun 26, 2019","18.19","18.20","18.58","18.12","1.65M","0.22%"
"Jun 25, 2019","18.15","18.20","18.39","18.00","1.23M","-0.44%"
"Jun 24, 2019","18.23","18.19","18.26","17.98","1.61M","0.05%"
"Jun 21, 2019","18.22","18.14","18.34","17.95","2.05M","-0.16%"
"Jun 20, 2019","18.25","17.89","18.25","17.89","1.44M","3.40%"
"Jun 19, 2019","17.65","17.78","17.83","17.59","1.24M","-0.28%"
"Jun 18, 2019","17.70","17.55","17.82","17.50","2.34M","2.43%"
"Jun 17, 2019","17.28","16.89","17.51","16.78","1.30M","1.65%"
"Jun 14, 2019","17.00","17.15","17.47","16.94","1.66M","-0.82%"
"Jun 13, 2019","17.14","17.38","17.49","16.22","2.63M","-0.46%"
"Jun 12, 2019","17.22","16.94","17.69","16.65","5.23M","2.81%"
"Jun 11, 2019","16.75","16.23","16.92","15.97","2.71M","3.84%"
"Jun 10, 2019","16.13","15.72","16.19","15.66","2.20M","3.13%"
"Jun 07, 2019","15.64","15.33","15.69","15.19","1.19M","2.69%"
